timestamps,pupil_size,pupil_x,pupil_y,message
2017-06-25 11:15:36.957,16.572,937.6382,537.7338,
2017-06-25 11:15:36.974,16.8158,938.0964,538.2369,
2017-06-25 11:15:36.990,16.686,939.4928,539.3295,
2017-06-25 11:15:37.007,16.97465,940.2045,540.329,
2017-06-25 11:15:37.024,17.04135,939.5479,542.293,
2017-06-25 11:15:37.040,16.856,940.7831,544.0555,
2017-06-25 11:15:37.057,17.0061,941.64,541.7531,
2017-06-25 11:15:37.074,16.741,943.0785,542.6877,
2017-06-25 11:15:37.090,16.9848,942.1631,540.8751,
2017-06-25 11:15:37.107,16.67185,942.5709,542.7808,
2017-06-25 11:15:37.124,17.5718,941.5947,544.2918,
2017-06-25 11:15:37.140,17.23105,942.1402,542.7283,
2017-06-25 11:15:37.157,16.82445,942.7972,543.4584,
2017-06-25 11:15:37.174,16.4903,943.3441,541.7203,
2017-06-25 11:15:37.190,16.6602,942.5204,541.2094,
2017-06-25 11:15:37.207,16.71615,942.1222,542.4844,
2017-06-25 11:15:37.224,17.42515,938.0688,540.4022,
2017-06-25 11:15:37.240,16.9905,720.6656,400.2682,
2017-06-25 11:15:37.257,16.76605,699.4738,381.9375,
2017-06-25 11:15:37.274,17.0956,704.9587,394.0522,
2017-06-25 11:15:37.290,17.2994,713.9824,390.3134,
2017-06-25 11:15:37.307,16.97555,718.9106,393.2838,
2017-06-25 11:15:37.323,17.45815,716.619,403.6172,
2017-06-25 11:15:37.340,16.8797,718.9984,412.8334,
2017-06-25 11:15:37.357,17.52035,717.1566,423.4519,
2017-06-25 11:15:37.374,17.23655,711.4979,423.9873,
2017-06-25 11:15:37.390,17.37315,696.7618,425.129,
2017-06-25 11:15:37.407,16.80175,674.819,412.4637,
2017-06-25 11:15:37.424,17.3642,655.9695,411.1099,
2017-06-25 11:15:37.440,16.9033,490.2206,346.4589,
2017-06-25 11:15:37.457,16.9365,513.0662,332.0355,
2017-06-25 11:15:37.474,16.91375,510.7341,322.914,
2017-06-25 11:15:37.490,17.19105,509.5004,338.0138,
2017-06-25 11:15:37.507,17.0864,510.3042,339.4584,
2017-06-25 11:15:37.523,16.9618,507.0388,329.5049,
2017-06-25 11:15:37.540,16.98995,504.9315,332.6886,
2017-06-25 11:15:37.557,17.15785,504.4483,343.4924,
2017-06-25 11:15:37.573,16.96935,501.6588,342.0034,
2017-06-25 11:15:37.590,17.30765,503.2437,343.3105,
2017-06-25 11:15:37.607,16.88445,499.2267,340.5962,
2017-06-25 11:15:37.623,17.2075,501.3083,342.9072,
2017-06-25 11:15:37.640,17.3759,499.2513,343.5359,
2017-06-25 11:15:37.657,17.56955,485.4599,343.0764,
2017-06-25 11:15:37.673,17.7577,475.0349,338.9456,
2017-06-25 11:15:37.690,17.7913,465.2344,336.2871,
2017-06-25 11:15:37.707,17.8326,455.9016,334.2487,
2017-06-25 11:15:37.723,17.78555,446.6907,333.5241,
2017-06-25 11:15:37.740,17.6319,437.8829,332.1939,
2017-06-25 11:15:37.756,17.94535,429.6327,333.9996,
2017-06-25 11:15:37.773,17.85985,422.1845,330.6058,
2017-06-25 11:15:37.790,18.0852,415.4675,329.9109,
2017-06-25 11:15:37.806,18.0972,410.3001,328.4855,
2017-06-25 11:15:37.823,18.2174,404.9229,328.8578,
